Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-01-29,HI,KULA HOSPITAL,KULA,Critical Access Hospitals,9.0,9.0,4.3,4.3,4.3,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,30.0,30.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-22,HI,PALI MOMI MEDICAL CENTER,AIEA,Short Term,118.0,118.0,118.0,102.6,102.6,11.4,8.3,118.0,17.0,17.0,14.7,14.7,5.4,5.0,826.0,826.0,826.0,718.0,718.0,80.0,58.0,826.0,119.0,119.0,103.0,103.0,38.0,35.0
2021-01-29,HI,SAMUEL MAHELONA MEMORIAL HOSPITAL,KAPAA,Critical Access Hospitals,80.0,80.0,14.0,8.1,8.1,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,560.0,98.0,57.0,57.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-22,HI,KAU HOSPITAL,PAHALA,Critical Access Hospitals,21.0,21.0,21.0,19.0,19.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,147.0,133.0,133.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-05,HI,PALI MOMI MEDICAL CENTER,AIEA,Short Term,118.0,118.0,118.0,102.9,102.9,9.4,4.0,118.0,17.0,17.0,13.4,13.4,-999999.0,-999999.0,826.0,826.0,826.0,720.0,720.0,66.0,28.0,826.0,119.0,119.0,94.0,94.0,24.0,17.0
2021-01-29,HI,KAU HOSPITAL,PAHALA,Critical Access Hospitals,21.0,21.0,21.0,18.0,18.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,147.0,126.0,126.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-05,HI,KULA HOSPITAL,KULA,Critical Access Hospitals,9.0,9.0,-999999.0,-999999.0,-999999.0,0.0,0.0,-999999.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,26.0,26.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-22,HI,WILCOX MEMORIAL HOSPITAL,LIHUE,Short Term,72.0,72.0,72.0,47.7,47.7,-999999.0,0.0,72.0,7.0,7.0,4.4,4.4,-999999.0,0.0,504.0,504.0,504.0,334.0,334.0,8.0,0.0,504.0,49.0,49.0,31.0,31.0,-999999.0,0.0
2021-01-29,HI,ADVENTIST HEALTH CASTLE,KAILUA,Short Term,102.1,102.1,102.1,86.7,86.7,4.0,-999999.0,102.1,6.0,6.0,5.3,5.3,-999999.0,-999999.0,715.0,715.0,715.0,607.0,607.0,28.0,24.0,715.0,42.0,42.0,37.0,37.0,8.0,8.0
2021-01-29,HI,PALI MOMI MEDICAL CENTER,AIEA,Short Term,118.0,118.0,118.0,99.0,99.0,12.4,6.4,118.0,17.0,17.0,14.1,14.1,4.4,-999999.0,826.0,826.0,826.0,693.0,693.0,87.0,45.0,826.0,119.0,119.0,99.0,99.0,31.0,27.0
2021-01-22,HI,KONA COMMUNITY HOSPITAL,KEALAKEKUA,Short Term,94.0,94.0,94.0,68.6,68.6,-999999.0,-999999.0,94.0,9.0,9.0,6.4,6.4,-999999.0,-999999.0,658.0,658.0,658.0,480.0,480.0,11.0,9.0,658.0,63.0,63.0,45.0,45.0,-999999.0,-999999.0
2021-01-22,HI,KULA HOSPITAL,KULA,Critical Access Hospitals,9.0,9.0,4.1,4.1,4.1,0.0,0.0,4.1,-999999.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,29.0,29.0,29.0,0.0,0.0,29.0,5.0,0.0,0.0,0.0,0.0,0.0
2021-02-05,HI,HILO MEDICAL CENTER,HILO,Short Term,168.0,166.3,162.0,124.4,124.4,0.0,0.0,168.0,11.0,11.0,8.1,8.1,0.0,0.0,1176.0,1164.0,1134.0,871.0,871.0,0.0,0.0,1176.0,77.0,77.0,57.0,57.0,0.0,0.0
2021-01-22,HI,KAISER FOUNDATION HOSPITAL,HONOLULU,Short Term,403.0,372.0,279.0,143.0,133.0,10.0,10.0,310.0,26.0,18.0,23.0,16.0,-999999.0,-999999.0,2821.0,2604.0,1953.0,1001.0,931.0,70.0,70.0,2170.0,182.0,126.0,161.0,112.0,21.0,21.0
2021-02-05,HI,MOLOKAI GENERAL HOSPITAL,KAUNAKAKAI,Critical Access Hospitals,21.0,21.0,15.0,-999999.0,-999999.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,105.0,5.0,5.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-29,HI,KAPIOLANI MEDICAL CENTER FOR WOMEN & CHILDREN,HONOLULU,Childrens Hospitals,254.0,100.0,99.0,129.9,42.1,-999999.0,-999999.0,253.0,97.0,-999999.0,52.0,-999999.0,-999999.0,0.0,1778.0,700.0,693.0,909.0,295.0,8.0,-999999.0,1771.0,679.0,21.0,364.0,8.0,-999999.0,0.0
2021-01-29,HI,KUAKINI MEDICAL CENTER,HONOLULU,Short Term,160.0,160.0,100.0,59.7,58.4,-999999.0,-999999.0,100.0,12.0,12.0,6.3,6.3,-999999.0,-999999.0,1120.0,1120.0,700.0,418.0,409.0,11.0,10.0,700.0,84.0,84.0,44.0,44.0,-999999.0,-999999.0
2021-02-05,HI,ADVENTIST HEALTH CASTLE,KAILUA,Short Term,99.6,99.6,99.6,82.4,82.4,-999999.0,-999999.0,99.6,7.6,7.6,7.0,7.0,-999999.0,-999999.0,697.0,697.0,697.0,577.0,577.0,23.0,21.0,697.0,53.0,53.0,49.0,49.0,8.0,8.0
